Category,Image,Link,Name,Price,Store
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/36/Без_имени-4876_dt4o-ax.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-70-8-128gb-black-smartfon-honor/,Honor 70 8/128 Gb,Price: 4.399.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/38/368.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/mi-13-lite-eu-8-256gb-black-smartfon-xiaomi/,Xiaomi Mi 13 Lite 8/256 Gb,Price: 4.949.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/39/117.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/a14-a145-64gb-black-smartfon-samsung/,Samsung Galaxy A14 4/64 Gb,Price: 1.799.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/39/497_4j41-q9.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/a14-a145-128gb-black-smartfon-samsung/,Samsung Galaxy A14 6/128 Gb,Price: 1.999.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/39/386.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9a-6-128gb-black-smartfon-honor/,Honor X9a 6/128 Gb,Price: 2.999.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/39/380.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9a-6-128gb-green-smartfon-honor/,Honor X9a 6/128 Gb,Price: 2.999.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/18/Без_имени-33.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/y33s-blue-smartfon-vivo/,Vivo Y33s 4/128 Gb,Price: 2.499.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/25/Без_имени-32.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9-6-128gb-silver-smartfon-honor/,Honor X9 6/128 Gb,Price: 2.999.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/42/1_klqk-v1.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x8b-8-256gb-black-smartfon-honor/,Honor X8b 8/256 Gb,Price: 3.399.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/40/32_u14h-ea.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-90-8-256gb-midnight-black-smartfon-honor/,Honor 90 8/256 Gb,Price: 6.199.000,Elmakon
